Gender,Age,Annual_Income,Employment_Status,Years_of_Employment,Education_Level,Marital_Status,Number_of_Dependents,Existing_Loan_Amount,Monthly_Income,Credit_Score,Loan_Status,Credit_History,Number_of_Credit_Inquiries,Debt_to_Income_Ratio,Approval_Status
Female,52,60164.28,Retired,13.9,Master,Married,4,26004.0,4361.39,633.0,Active,Good,1,0.5494,Approved
Male,39,132893.4,Retired,2.3,Master,Married,3,35062.43,10043.08,650.0,Active,Average,2,0.4046,Rejected
Female,31,128268.15,Employed,0.3,Master,Married,2,44710.16,9666.77,666.0,None,Average,0,0.3695,Approved
Female,37,128857.72,Unemployed,0.1,Other,Married,0,39282.11,9400.81,702.0,None,Good,2,0.4409,Approved
Female,57,128392.95,Employed,0.5,Master,Divorced,2,3337.53,10125.78,663.0,Closed,Average,7,0.046,Approved
Male,47,115865.39,Employed,8.1,Master,Divorced,2,11618.57,8622.1,625.0,Closed,Good,4,0.3695,Approved
Female,32,126206.61,Employed,1.2,Bachelor,Married,1,29970.98,10284.6,596.0,Default,Good,1,0.318,Rejected
Female,64,56187.9,Employed,2.0,Master,Single,4,6532.01,4540.66,635.0,None,Poor,3,0.3642,Rejected
Female,58,132405.66,Self-Employed,1.8,Bachelor,Single,3,40861.63,9635.15,647.0,None,Good,5,0.3498,Approved
Male,21,79745.93,Employed,3.0,Bachelor,Divorced,1,11240.95,5954.16,582.0,Active,Good,1,0.2785,Rejected
Male,59,93132.18,Unemployed,5.3,Bachelor,Single,3,22499.84,7487.63,446.0,None,Poor,2,0.439,Rejected
Male,60,45534.5,Employed,1.0,Other,Divorced,2,16762.16,3766.9,808.0,Active,Good,3,0.515,Rejected
Male,48,41489.3,Self-Employed,11.7,Bachelor,Divorced,4,11961.65,3381.86,444.0,Closed,Good,6,0.4597,Rejected
Male,51,94519.02,Employed,22.3,Master,Married,0,11939.93,7094.03,629.0,Active,Good,4,0.3885,Approved
Female,37,39766.31,Retired,3.3,Master,Married,1,18859.23,3044.6,592.0,None,Poor,6,0.5617,Rejected
Female,36,99982.97,Employed,3.6,High School,Single,4,38465.89,8032.5,629.0,None,Average,4,0.5972,Approved
Female,29,80882.92,Employed,1.6,Bachelor,Single,0,17720.58,6511.3,674.0,None,Average,5,0.518,Rejected
Male,28,56536.47,Self-Employed,2.4,Bachelor,Married,1,11083.79,4127.28,577.0,Active,No History,2,0.3666,Approved
Male,58,22490.21,Employed,1.3,Master,Married,2,3289.38,1825.51,772.0,Active,Good,4,0.4347,Approved
Female,58,143130.99,Self-Employed,6.7,Bachelor,Single,1,65334.36,11721.57,661.0,None,Poor,3,0.7455,Rejected
Male,55,38493.18,Employed,20.9,Bachelor,Single,1,17872.97,2877.28,651.0,Default,Good,3,0.5138,Approved
Female,44,81224.83,Retired,7.0,Master,Married,1,7196.22,6425.47,668.0,Closed,Good,7,0.3338,Approved
Female,43,134996.3,Employed,5.9,PhD,Married,0,29703.1,11073.46,628.0,None,Good,1,0.2754,Rejected
Female,35,143486.96,Retired,6.6,Bachelor,Married,0,11795.02,10409.54,697.0,Active,No History,0,0.1992,Approved
Male,42,88008.59,Employed,14.3,High School,Divorced,2,35246.59,7003.68,761.0,None,Good,4,0.4301,Approved
Female,21,110961.68,Employed,3.0,PhD,Married,3,5729.23,8715.5,486.0,Default,Good,1,0.2885,Approved
Female,41,51209.2,Unemployed,22.7,Master,Married,0,6474.33,3719.69,529.0,None,Good,6,0.3331,Approved
Female,37,92450.37,Unemployed,9.0,Master,Single,4,38871.16,6728.89,660.0,None,Good,5,0.4753,Approved
Female,26,108295.89,Retired,8.0,Bachelor,Married,1,22078.72,7774.61,796.0,None,Good,5,0.4001,Rejected
Female,39,120564.37,Unemployed,5.9,Master,Married,2,21380.05,8606.35,535.0,None,Good,3,0.3817,Rejected
Female,52,117503.69,Employed,1.2,Bachelor,Married,3,32685.3,9104.08,509.0,Active,Good,7,0.5264,Rejected
Male,28,85315.55,Employed,10.0,Bachelor,Single,4,35683.16,6823.27,673.0,None,Good,6,0.6985,Rejected
Male,49,71769.61,Employed,0.0,Bachelor,Single,1,8509.88,5481.92,674.0,Active,Good,3,0.2323,Approved
Female,26,62277.46,Employed,1.6,Bachelor,Divorced,2,22197.12,4441.89,710.0,Closed,Good,7,0.6461,Rejected
Male,42,121828.74,Unemployed,5.8,Bachelor,Married,0,18547.97,9034.51,781.0,Default,Poor,0,0.2066,Rejected
Female,45,123637.44,Employed,5.9,Bachelor,Married,0,3238.76,9876.93,735.0,Default,Good,2,0.2069,Approved
Male,22,140440.29,Employed,0.1,Master,Single,1,66481.35,10684.51,497.0,Active,Good,0,0.7096,Rejected
Male,47,112227.05,Employed,11.7,Bachelor,Married,3,23911.17,8330.28,755.0,Default,Good,5,0.2621,Approved
Male,49,101439.41,Employed,5.4,Bachelor,Single,3,24981.25,7549.62,575.0,Active,Poor,4,0.4645,Approved
Male,49,39402.43,Self-Employed,2.2,High School,Married,1,1116.67,2923.09,552.0,None,Poor,3,0.2038,Approved
Male,56,35874.5,Employed,7.8,Master,Single,3,12073.42,2590.95,718.0,Active,Good,3,0.3682,Rejected
Male,62,77788.67,Unemployed,0.6,Bachelor,Married,1,30875.03,6000.7,677.0,Active,Good,7,0.6254,Rejected
Female,22,100440.37,Employed,0.1,Bachelor,Single,2,14008.32,7949.9,828.0,None,Good,2,0.3063,Approved
Female,48,121519.52,Self-Employed,4.6,Master,Single,3,6248.69,9809.86,650.0,Active,Average,1,0.1378,Approved
Female,36,20702.64,Self-Employed,0.1,Bachelor,Single,1,7166.78,1466.79,569.0,None,Average,7,0.4433,Rejected
Female,40,111179.83,Employed,22.0,Master,Married,1,33028.29,8032.89,622.0,Closed,Good,3,0.3967,Approved
Female,56,42704.13,Employed,0.3,Bachelor,Married,3,12640.78,3182.85,667.0,None,Poor,3,0.4652,Approved
Male,42,38626.59,Self-Employed,1.7,PhD,Single,4,17387.07,3081.14,656.0,None,Good,0,0.5425,Approved
Female,24,62357.05,Employed,5.8,High School,Married,0,20735.46,4516.55,604.0,Default,Average,5,0.3707,Rejected
Male,43,114762.1,Employed,0.6,High School,Married,0,782.33,9247.66,644.0,Closed,Poor,2,0.1138,Approved
Male,49,31057.33,Employed,2.5,Master,Divorced,0,6054.62,2412.98,763.0,None,Good,0,0.2894,Rejected
Female,40,95752.88,Employed,2.0,High School,Married,0,19280.02,7754.95,522.0,None,Average,4,0.4592,Rejected
Male,32,94443.57,Employed,14.0,Bachelor,Married,2,29238.44,6992.85,624.0,Closed,Good,4,0.5117,Rejected
Female,62,88063.27,Employed,1.8,Bachelor,Married,4,23837.6,6548.53,756.0,None,Average,3,0.4663,Approved
Female,58,88017.7,Self-Employed,5.3,Bachelor,Married,3,39517.1,6533.61,775.0,None,Good,7,0.6124,Approved
Male,32,66620.81,Retired,0.1,Master,Divorced,0,32483.64,5477.9,521.0,Active,Good,4,0.6982,Rejected
Female,48,141514.89,Employed,17.4,High School,Married,1,57721.76,10467.76,667.0,None,Good,4,0.5097,Approved
Female,35,78771.26,Employed,0.0,Master,Divorced,2,25982.32,6550.29,571.0,Active,No History,7,0.4671,Rejected
Female,61,43467.37,Self-Employed,10.1,Bachelor,Single,0,2756.35,3221.55,570.0,Active,Average,4,0.2661,Approved
Male,55,35142.12,Employed,1.8,Bachelor,Single,3,1393.04,2600.92,655.0,None,Good,2,0.2175,Approved
Female,37,88076.24,Employed,1.1,High School,Married,2,34852.2,6590.07,672.0,None,No History,3,0.6443,Approved
Male,26,113868.59,Unemployed,2.6,High School,Married,4,24063.62,8123.03,382.0,Active,Good,5,0.4921,Rejected
Male,41,21677.94,Employed,4.7,Master,Divorced,4,1262.29,1596.95,495.0,Closed,Good,1,0.2381,Approved
Male,38,54381.34,Employed,0.4,Bachelor,Divorced,1,22457.65,4194.31,719.0,Active,Average,5,0.5528,Approved
Male,29,22732.74,Employed,1.7,High School,Single,2,2577.58,1843.14,689.0,None,Good,6,0.2255,Rejected
Male,58,86521.97,Employed,2.4,Bachelor,Married,1,6286.98,6651.33,695.0,Closed,Average,3,0.0749,Approved
Female,27,32741.0,Employed,5.2,PhD,Divorced,0,5408.67,2337.19,664.0,Closed,Poor,7,0.4178,Approved
Female,56,66558.16,Employed,5.8,Master,Single,2,1563.22,5537.78,543.0,None,Good,5,0.1381,Approved
Female,29,74007.59,Employed,0.5,Bachelor,Single,2,35812.37,5264.41,569.0,None,Average,5,0.7025,Rejected
Male,38,108080.95,Self-Employed,3.2,Other,Single,3,3930.63,8394.64,608.0,Closed,Poor,1,0.2247,Approved
Male,61,101993.27,Unemployed,1.1,Master,Divorced,3,37271.93,8167.56,636.0,None,Average,3,0.5849,Rejected
Male,54,104795.76,Employed,5.6,High School,Single,3,52215.87,8025.14,653.0,Default,Poor,7,0.6881,Rejected
Female,60,36584.12,Employed,6.6,High School,Married,2,7653.21,2778.45,541.0,Active,Average,5,,Approved
Male,60,53090.27,Self-Employed,0.2,Master,Married,2,6932.59,4074.48,569.0,None,Good,0,0.354,Approved
Male,48,97908.91,Employed,6.6,High School,Single,4,15601.28,7563.92,502.0,Active,Good,1,0.4418,Rejected
Female,55,136554.71,Employed,0.1,Master,Married,3,8309.03,10007.69,647.0,None,Good,1,0.328,Approved
Male,53,54943.69,Employed,4.0,High School,Married,4,11716.73,4028.27,584.0,None,Good,7,0.4627,Approved
Male,29,98629.13,Employed,10.0,PhD,Married,4,39385.36,7463.9,564.0,Active,Average,3,0.4791,Approved
Male,33,22462.9,Employed,5.1,Bachelor,Married,0,1545.78,1797.76,618.0,None,No History,2,0.135,Rejected
Male,27,60637.74,Self-Employed,1.2,Master,Divorced,4,28334.32,4606.46,624.0,None,Good,5,0.5794,Rejected
Male,22,145477.25,Employed,2.3,Bachelor,Single,2,31093.33,11083.28,761.0,None,Poor,5,0.3077,Approved
Male,24,123357.54,Self-Employed,6.0,PhD,Single,0,40567.12,9237.01,714.0,Closed,Good,3,0.4419,Approved
Female,39,133813.52,Employed,5.9,Bachelor,Single,4,21956.13,9984.38,604.0,None,Good,6,0.3143,Rejected
Female,46,30953.2,Unemployed,1.3,High School,Married,2,12566.17,2456.65,683.0,Active,Average,3,0.4928,Rejected
Male,24,101247.37,Employed,6.0,Bachelor,Married,3,9848.08,7979.58,713.0,None,Good,2,0.3482,Approved
Female,52,141223.56,Employed,2.6,Master,Single,4,65117.61,11651.88,615.0,None,Good,6,0.7249,Approved
Male,56,50299.47,Retired,0.7,Bachelor,Single,4,3502.2,3999.97,726.0,None,Average,5,0.3431,Approved
Male,49,24324.84,Employed,2.7,Bachelor,Married,2,3040.27,1760.07,677.0,Closed,Good,0,0.2604,Approved
Female,63,79543.72,Employed,1.9,High School,Single,0,39602.21,5889.53,656.0,None,Good,4,0.5757,Rejected
Male,56,86687.32,Retired,8.6,Bachelor,Single,4,5217.0,6445.27,782.0,Active,Good,5,0.323,Approved
Male,52,112430.13,Employed,0.6,Master,Single,1,3026.09,8293.36,672.0,None,Average,1,0.1093,Approved
Female,35,120513.86,Retired,0.2,Master,Single,1,27762.39,9548.09,663.0,Active,No History,2,0.4728,Approved
Female,63,54719.75,Retired,15.4,Other,Single,2,500.0,4241.69,616.0,Active,Good,3,0.2574,Approved
Male,55,67225.46,Employed,19.0,Master,Divorced,4,24786.36,5130.41,718.0,None,Average,1,0.4007,Approved
Female,42,113331.25,Employed,6.7,Master,Married,3,24936.9,8429.4,642.0,None,Poor,5,0.224,Approved
Male,27,85482.09,Unemployed,9.0,Master,Married,2,29958.71,6993.59,546.0,Active,Good,1,0.4436,Approved
Female,39,69057.21,Employed,1.0,Other,Single,2,32725.51,5248.51,619.0,Closed,Good,4,0.625,Approved
Male,43,102324.22,Unemployed,3.8,Bachelor,Married,2,42256.88,7823.9,640.0,Default,Average,6,0.6554,Rejected
Male,46,97540.72,Employed,1.1,Master,Married,1,27525.77,7902.08,572.0,None,Good,3,0.4625,Approved
Male,56,87248.15,Employed,1.1,Master,Single,3,1105.81,6630.61,625.0,None,Good,6,0.1854,Rejected
Female,53,31668.74,Employed,0.7,Master,Single,0,5428.64,2603.76,649.0,None,Good,0,0.2199,Rejected
Male,37,45409.54,Employed,12.4,Bachelor,Married,1,4569.65,3310.86,632.0,Active,Good,5,0.3286,Approved
Male,47,80454.72,Employed,2.8,PhD,Married,1,10529.56,5927.14,674.0,None,Good,0,0.2643,Approved
Female,23,76380.26,Employed,2.3,High School,Married,3,30219.25,6220.35,664.0,None,Good,5,0.5826,Rejected
Male,36,78545.55,Employed,1.0,High School,Single,0,8605.69,6298.99,756.0,None,Average,1,0.1708,Approved
Female,22,75523.66,Self-Employed,4.0,Bachelor,Married,3,20226.54,5798.11,537.0,None,Good,5,0.3435,Approved
Female,33,106230.39,Employed,6.5,Bachelor,Divorced,2,26151.92,8638.88,555.0,Active,Good,7,0.4771,Approved
Female,38,62619.57,Employed,4.5,PhD,Single,2,6003.22,5074.07,663.0,None,Average,7,0.3522,Approved
Male,23,41514.97,Self-Employed,1.1,PhD,Married,0,10753.98,3307.33,824.0,None,Good,7,0.3557,Approved
Male,58,88586.44,Employed,0.3,High School,Single,1,4490.44,6561.57,695.0,Active,Average,2,0.1415,Approved
Male,38,114592.05,Employed,1.1,Bachelor,Single,2,27915.31,9438.47,690.0,Active,Poor,0,0.4243,Approved
Female,56,31045.62,Retired,5.4,PhD,Married,1,4296.0,2368.36,765.0,None,Average,4,0.1794,Rejected
Male,64,61079.63,Employed,2.0,Bachelor,Single,4,15819.94,4977.13,602.0,None,Poor,4,0.3434,Approved
Male,47,53195.94,Employed,2.4,Master,Single,1,15341.92,4318.61,663.0,None,Good,2,0.526,Approved
Female,38,33073.16,Employed,2.1,High School,Married,1,5497.2,2505.26,730.0,Default,No History,7,0.3514,Approved
Female,33,111112.54,Employed,5.0,High School,Married,4,16113.76,8266.6,675.0,None,Good,1,0.3724,Approved
Female,46,91032.92,Employed,4.1,PhD,Married,1,34217.94,6732.35,724.0,None,Good,1,0.3807,Approved
Male,32,36394.99,Employed,7.3,Bachelor,Married,4,9778.25,2842.63,616.0,None,Average,2,0.5384,Approved
Female,55,59125.62,Employed,1.3,Bachelor,Married,1,27913.47,4324.09,636.0,None,No History,6,0.5699,Rejected
Male,50,119977.95,Employed,4.2,High School,Married,4,19070.78,9136.58,779.0,None,Average,3,0.2927,Approved
Female,55,37380.44,Retired,13.9,Other,Single,3,11746.84,3084.85,562.0,None,Good,6,0.5245,Approved
Male,30,59583.76,Employed,5.1,PhD,Single,3,29095.27,4952.61,763.0,Default,Good,3,0.56,Approved
Male,61,97097.3,Self-Employed,1.7,High School,Divorced,3,11184.96,7471.51,619.0,Closed,Average,1,0.2575,Approved
Female,46,97715.04,Retired,2.7,High School,Married,0,13793.15,7733.42,606.0,Active,Poor,3,0.2925,Approved
Female,63,85252.9,Retired,8.0,Master,Single,2,19475.52,7008.42,699.0,Closed,Good,7,0.3169,Rejected
Male,41,74231.36,Employed,1.1,Bachelor,Married,4,2308.78,6072.51,781.0,Active,Average,6,0.3227,Approved
Female,56,58721.72,Employed,0.9,Bachelor,Single,3,11035.35,4732.03,526.0,None,Good,1,0.2908,Approved
Male,41,32570.29,Employed,1.7,High School,Married,4,12472.28,2600.38,637.0,Default,Good,0,0.3895,Approved
Male,53,34551.5,Employed,21.6,Master,Divorced,3,6723.87,2710.64,761.0,Default,Average,5,0.4673,Approved
Male,45,144653.34,Employed,4.3,Bachelor,Single,0,20179.74,10504.51,676.0,None,Good,7,0.3522,Approved
Female,40,61139.43,Employed,4.2,High School,Divorced,0,189.04,4397.17,637.0,Active,Good,1,0.2844,Approved
Male,56,117330.8,Employed,10.1,High School,Single,2,13887.0,8623.53,684.0,Closed,Good,6,0.2401,Approved
Male,44,110346.12,Employed,0.9,Bachelor,Married,0,49419.96,8526.77,,Closed,Good,7,0.5774,Approved
Female,41,49169.79,Unemployed,1.5,High School,Married,2,4558.26,3792.94,601.0,Active,Poor,6,0.246,Rejected
Female,38,132837.35,Retired,0.5,Other,Single,2,26200.8,10377.54,583.0,None,Poor,2,0.4127,Rejected
Female,40,61988.66,Employed,0.9,Master,Single,3,7138.59,5079.72,763.0,Default,Average,6,0.1299,Rejected
Male,32,86830.65,Self-Employed,7.7,High School,Married,0,31084.71,6996.41,826.0,Active,Good,3,0.4723,Approved
Male,34,125923.18,Employed,1.9,Bachelor,Married,2,8422.88,9576.55,678.0,Active,Good,1,0.1026,Approved
Female,37,55248.49,Self-Employed,10.1,Bachelor,Single,2,11556.49,4438.52,558.0,None,Good,3,0.2817,Approved
Female,33,66757.82,Employed,1.9,High School,Divorced,2,21216.7,5302.16,652.0,None,Good,1,0.3208,Approved
Male,32,114512.41,Employed,12.3,Bachelor,Married,0,22718.65,9103.15,736.0,Active,Good,5,0.3689,Approved
Female,54,77801.6,Employed,3.0,Bachelor,Married,4,12068.4,5537.28,778.0,None,No History,0,0.1925,Approved
Female,43,33807.8,Employed,0.6,Master,Single,3,655.14,2722.6,697.0,Closed,Good,7,0.1926,Approved
Female,51,58549.89,Employed,2.8,PhD,Married,3,23273.92,4341.31,704.0,None,Good,0,0.4285,Approved
Female,59,127664.16,Employed,2.4,Master,Single,3,38961.57,10041.94,617.0,Active,Good,6,0.4414,Approved
Male,23,122582.49,Employed,5.0,High School,Single,1,4594.39,9606.73,600.0,Active,Poor,0,0.2884,Approved
Female,55,104524.33,Unemployed,0.2,PhD,Married,2,5070.38,8687.47,639.0,Closed,No History,5,0.259,Rejected
Male,32,71734.85,Self-Employed,2.1,Master,Single,0,35187.55,5916.46,717.0,None,Good,4,0.5971,Approved
Female,36,25173.63,Unemployed,0.4,PhD,Single,2,10337.04,1971.2,507.0,Active,Good,1,0.5824,Rejected
Male,41,53053.69,Employed,0.1,Bachelor,Married,3,13635.42,4176.46,471.0,Closed,Average,5,0.3884,Rejected
Male,56,44470.19,Employed,9.2,Bachelor,Divorced,3,2434.54,3252.39,659.0,Default,Good,6,0.3006,Approved
Female,48,95498.28,Self-Employed,5.6,PhD,Divorced,1,16830.67,7649.83,599.0,Active,Good,2,0.3844,Rejected
Male,23,98293.32,Employed,5.0,Other,Single,3,41816.57,7358.47,735.0,Active,Good,7,0.5154,Approved
Female,31,48304.76,Employed,0.2,PhD,Single,4,5113.41,3796.69,694.0,Active,Good,6,0.3822,Approved
Female,54,97179.0,Employed,2.6,Master,Married,1,112.89,7800.43,609.0,None,Poor,1,0.0896,Approved
Male,35,46730.79,Employed,1.3,High School,Single,3,10581.8,3668.57,501.0,None,Good,3,0.2835,Rejected
Male,39,123425.19,Employed,1.1,High School,Single,4,33632.27,8960.75,677.0,None,Good,3,0.5496,Rejected
Male,59,33359.87,Employed,2.8,Master,Married,3,9499.18,2434.8,,Default,No History,0,0.4122,Approved
Male,40,55753.22,Self-Employed,3.0,PhD,Divorced,4,11990.92,4105.03,672.0,None,Poor,6,0.2386,Approved
Female,53,81629.91,Self-Employed,1.6,High School,Single,4,25843.16,6675.65,675.0,Active,Good,5,0.4214,Approved
Female,36,141605.23,Retired,0.2,Bachelor,Single,1,64399.54,11764.69,636.0,Active,No History,6,0.508,Rejected
Male,57,30915.13,Employed,5.0,High School,Single,4,15108.82,2487.39,665.0,Closed,Good,0,0.5072,Rejected
Female,46,71926.2,Employed,11.8,High School,Married,2,29520.27,5471.42,798.0,Default,Good,0,0.416,Approved
Female,62,112115.86,Employed,1.0,Bachelor,Single,0,42203.07,8967.22,660.0,Active,Poor,5,0.3976,Approved
Male,62,125769.15,Employed,0.8,Bachelor,Married,3,5883.44,10032.64,676.0,None,Average,5,0.2399,Approved
Male,29,45005.03,Employed,5.5,Bachelor,Married,2,17155.04,3591.42,633.0,Active,Good,7,0.5881,Approved
Male,61,38917.25,Employed,2.2,PhD,Married,1,12220.61,3183.74,557.0,None,Good,4,0.4875,Approved
Female,50,138524.62,Retired,3.5,High School,Married,0,9050.69,11027.86,616.0,Active,Average,1,0.3404,Rejected
Male,49,52544.23,Employed,13.7,Bachelor,Married,2,3399.1,4268.16,563.0,None,Good,6,0.1095,Approved
Male,33,141365.46,Employed,0.7,Bachelor,Single,2,5952.41,11661.36,409.0,Default,Good,7,0.2987,Rejected
Male,25,145383.47,Employed,0.0,Other,Single,4,64875.13,10823.99,687.0,Active,Average,4,0.599,Approved
Female,55,102584.45,Employed,1.2,Bachelor,Single,0,1007.97,7319.69,648.0,Active,Poor,1,0.0409,Rejected
Male,23,104514.72,Employed,4.9,Master,Married,4,42377.33,8372.53,713.0,Closed,No History,4,0.6587,Rejected
Male,23,127319.53,Employed,1.1,Bachelor,Married,4,18407.24,10277.83,671.0,Active,Good,2,0.1994,Approved
Male,51,85341.92,Employed,2.1,Master,Married,3,23128.31,6320.04,659.0,Closed,Good,4,0.4851,Rejected
Male,53,89748.33,Employed,1.2,Bachelor,Single,0,3760.05,7321.9,605.0,None,Average,2,0.1974,Approved
Male,25,79144.39,Retired,4.0,PhD,Married,1,10315.49,6351.48,661.0,None,Good,4,0.3863,Rejected
Female,43,33151.53,Employed,2.2,Master,Married,1,11549.24,2606.46,563.0,None,Good,0,0.5401,Rejected
Male,36,78667.07,Retired,4.4,Bachelor,Single,0,32042.08,5687.28,742.0,Closed,Good,0,0.5497,Approved
Male,43,64019.46,Employed,4.0,Master,Married,0,10668.84,4579.07,637.0,None,Good,4,0.3845,Approved
Male,41,33814.57,Employed,1.2,Other,Single,2,9199.4,2724.23,633.0,None,Good,7,0.2966,Approved
Male,40,115031.35,Retired,5.5,PhD,Married,2,28141.23,8258.23,549.0,None,Poor,6,0.3463,Rejected
Female,27,65828.8,Employed,0.7,Bachelor,Married,0,17089.39,5257.54,700.0,None,Good,3,0.2842,Rejected
Male,57,111311.83,Employed,22.6,Bachelor,Married,3,40552.96,8801.38,627.0,Closed,Average,5,0.3799,Approved
Female,39,39664.36,Self-Employed,3.9,High School,Married,1,6216.94,2950.7,,Active,Good,3,0.1874,Approved
Male,28,133871.29,Employed,0.9,Master,Single,1,1838.76,10793.08,597.0,Active,Average,1,0.2013,Approved
Female,45,116635.88,Employed,0.8,Bachelor,Single,3,924.45,9316.29,660.0,Active,Average,6,0.1196,Approved
Female,28,,Employed,9.1,Bachelor,Married,1,44879.87,7248.68,638.0,Active,Good,5,0.6113,Rejected
Female,34,22857.64,Retired,0.7,High School,Married,1,1057.36,1848.43,595.0,None,No History,7,0.2391,Rejected
Female,32,47209.79,Retired,6.1,Bachelor,Single,4,21717.45,3386.82,727.0,None,Good,5,0.5388,Approved
Female,28,51658.68,Employed,3.7,Bachelor,Single,1,3910.83,4260.76,626.0,Active,Good,1,0.1842,Approved
Female,38,66141.06,Unemployed,3.4,Master,Married,4,18324.36,5101.0,609.0,Closed,Poor,6,0.3922,Rejected
Male,27,32330.4,Employed,4.7,High School,Single,4,12890.46,2509.97,719.0,None,Good,3,0.4261,Approved
Male,48,106253.74,Employed,1.2,PhD,Single,1,25128.51,8637.05,714.0,Closed,Good,5,0.2835,Approved
Female,50,107212.44,Employed,16.3,Master,Married,4,33339.68,8484.65,748.0,None,Good,0,0.5641,Approved
Male,52,132804.01,Self-Employed,17.0,Other,Married,1,20116.17,10124.29,636.0,None,Average,6,0.2683,Approved
Male,54,60496.6,Unemployed,7.5,Bachelor,Married,4,11379.12,4877.23,591.0,Active,Good,7,0.297,Approved
Male,49,93053.25,Employed,0.4,High School,Divorced,2,23705.73,6957.16,423.0,None,Good,0,0.2778,Rejected
Female,45,113233.59,Employed,6.8,Master,Married,0,10753.5,8782.34,519.0,Closed,Good,3,0.3651,Rejected
Male,42,73837.1,Self-Employed,1.6,Bachelor,Married,2,6473.09,5874.23,654.0,Default,No History,6,0.0989,Approved
Male,56,130302.69,Unemployed,1.5,Master,Single,3,23244.08,10705.48,823.0,Default,No History,6,0.3294,Approved
Male,33,113353.23,Employed,14.8,Bachelor,Married,1,50432.91,8853.06,705.0,Active,Average,4,0.497,Approved
Male,57,128314.92,Employed,5.0,Bachelor,Divorced,0,63557.12,9773.52,754.0,Active,Poor,7,0.6637,Approved
Female,40,144828.35,Employed,3.7,High School,Single,4,21669.83,11454.12,718.0,None,Poor,3,0.164,Approved
Male,59,119051.47,Employed,0.3,Bachelor,Married,0,9339.74,9184.5,648.0,Default,Poor,1,0.1946,Approved
Female,48,100322.67,Employed,2.4,Master,Single,1,6327.23,7941.2,673.0,Active,Average,7,0.2755,Approved
Female,60,76028.42,Retired,0.5,Master,Divorced,0,27416.78,5659.21,606.0,Default,Good,2,0.3729,Approved
Female,64,66359.16,Employed,14.6,Master,Married,1,14900.4,4917.27,660.0,Active,Average,5,0.5152,Approved
Female,23,82724.1,Employed,2.4,Bachelor,Married,0,11455.41,6503.4,701.0,Closed,Good,4,0.2282,Rejected
Male,62,121461.25,Employed,0.4,Bachelor,Single,1,51080.97,8908.94,,None,No History,0,0.446,Approved
Male,53,129916.41,Employed,9.3,Bachelor,Divorced,1,13603.4,10500.09,523.0,Active,No History,0,0.1514,Approved
Female,39,30402.38,Employed,9.8,Bachelor,Married,0,13705.87,2290.11,654.0,Closed,Good,7,0.5486,Approved
Male,26,124645.69,Employed,0.5,Bachelor,Married,0,31334.89,10336.24,646.0,None,Poor,1,0.4745,Approved
Female,47,92016.09,Employed,1.7,High School,Single,1,11048.91,6519.65,509.0,Active,Average,5,0.3024,Approved
Male,45,117176.69,Self-Employed,5.1,PhD,Divorced,3,22042.66,9105.26,549.0,Active,Good,7,0.3588,Rejected
Male,47,113472.53,Unemployed,1.4,Master,Single,0,25755.93,8444.7,635.0,None,Good,7,0.4355,Rejected
Female,49,137248.24,Employed,1.2,PhD,Single,0,35910.06,10487.52,703.0,Closed,Poor,1,0.3392,Approved
Female,26,107467.37,Employed,5.4,Bachelor,Married,0,19949.75,8324.81,656.0,Active,Poor,1,0.2459,Approved
Female,32,29244.39,Employed,8.5,Master,Single,0,13595.6,2197.83,617.0,None,Average,0,0.6567,Approved
Male,63,84297.62,Unemployed,1.6,High School,Divorced,4,37874.79,6913.89,778.0,None,Good,1,0.5062,Approved
Male,54,87752.58,Employed,4.1,High School,Divorced,0,35467.74,6380.1,659.0,None,Poor,4,0.6281,Approved
Female,44,125001.31,Employed,0.3,Bachelor,Divorced,4,37967.38,9239.18,631.0,Closed,Good,4,0.3797,Approved
Female,37,22096.2,Employed,0.4,Bachelor,Married,2,8872.04,1668.08,698.0,None,Average,3,0.6046,Approved
Male,37,94257.68,Employed,2.4,Bachelor,Single,0,19153.46,7554.83,483.0,None,Good,5,0.4486,Approved
Male,38,127086.78,Self-Employed,2.9,High School,Married,4,37573.28,10363.44,584.0,Closed,Good,2,0.3183,Approved
Female,22,124944.01,Self-Employed,1.3,High School,Divorced,0,26028.09,9568.06,636.0,None,Good,7,0.2566,Approved
Male,29,94124.34,Employed,5.7,Bachelor,Married,3,35183.54,7681.15,665.0,None,No History,2,0.4962,Approved
Male,26,94400.97,Retired,1.7,Bachelor,Married,0,28234.74,7865.81,649.0,Active,Average,3,0.3483,Approved
Female,56,34669.27,Employed,2.8,Bachelor,Married,1,260.41,2832.78,565.0,Active,Good,6,0.3043,Approved
Male,43,142033.51,Employed,9.5,Master,Single,1,29137.66,11490.08,684.0,None,No History,1,0.2962,Approved
Female,37,88486.23,Unemployed,3.1,Bachelor,Single,2,34881.25,6330.93,631.0,None,Good,0,0.616,Approved
Female,29,86128.91,Employed,3.8,Other,Divorced,1,37014.03,6159.7,623.0,None,Poor,0,0.6726,Approved
Male,62,36176.45,Employed,2.5,Master,Single,3,16614.42,2997.61,710.0,Default,No History,5,0.5682,Approved
Female,30,116881.39,Unemployed,2.0,Bachelor,Single,1,18108.76,9030.72,613.0,Active,Average,4,0.3346,Rejected
